sequence,accelx,accely,accelz,event
0,0.15,-0.08,0.98,0
1,0.14,-0.08,0.98,0
2,0.14,-0.08,0.98,0
3,0.14,-0.08,0.98,0
4,0.14,-0.08,0.98,0
5,0.14,-0.08,0.99,0
6,0.16,-0.08,0.99,0
7,0.15,-0.08,0.98,0
8,0.13,-0.08,0.98,0
9,0.14,-0.08,0.98,0
10,0.14,-0.08,0.98,0
11,0.14,-0.07,0.98,0
12,0.15,-0.08,0.98,0
13,0.15,-0.08,0.98,0
14,0.13,-0.07,0.98,0
15,0.13,-0.07,0.98,0
16,0.14,-0.07,0.98,0
17,0.14,-0.07,0.98,0
18,0.14,-0.07,0.99,0
19,0.13,-0.07,0.98,0
20,0.13,-0.07,0.98,0
21,0.13,-0.07,0.98,0
22,0.14,-0.07,0.98,0
23,0.13,-0.07,0.98,0
24,0.14,-0.08,0.98,0
25,0.13,-0.08,0.98,0
26,0.14,-0.08,0.98,0
27,0.14,-0.08,0.98,0
28,0.14,-0.08,0.98,0
29,0.13,-0.07,0.98,0
30,0.13,-0.06,0.98,0
31,0.14,-0.06,0.98,0
32,0.14,-0.07,0.98,0
33,0.13,-0.07,0.98,0
34,0.14,-0.08,0.98,0
35,0.13,-0.09,0.98,0
36,0.12,-0.11,1.0,0
37,0.14,-0.12,0.99,0
38,0.14,-0.12,0.99,0
39,0.14,-0.11,0.98,0
40,0.14,-0.11,0.98,0
41,0.13,-0.11,0.98,0
42,0.12,-0.11,0.98,0
43,0.13,-0.1,0.98,0
44,0.14,-0.09,0.98,0
45,0.14,-0.1,0.99,0
46,0.13,-0.1,0.99,0
47,0.14,-0.09,0.98,0
48,0.14,-0.09,0.98,0
49,0.14,-0.1,0.99,0
50,0.13,-0.1,0.98,0
51,0.14,-0.1,0.99,0
52,0.17,-0.1,0.99,0
53,0.1,-0.11,0.97,0
54,0.14,-0.1,0.99,0
55,0.09,-0.12,0.98,0
56,0.1,-0.11,0.99,0
57,0.1,-0.11,1.0,0
58,0.11,-0.12,1.0,0
59,0.11,-0.11,0.99,0
60,0.1,-0.13,0.98,0
61,0.12,-0.12,0.97,0
62,0.14,-0.12,0.97,0
63,0.1,-0.13,0.97,0
64,0.14,-0.12,0.99,0
65,0.12,-0.13,1.01,0
66,0.16,-0.12,1.03,0
67,0.14,-0.11,1.03,0
68,0.09,-0.12,0.97,0
69,0.08,-0.11,0.92,0
70,0.18,-0.13,0.93,0
71,0.11,-0.13,0.94,0
72,0.1,-0.15,0.97,0
73,0.2,-0.16,1.04,0
74,0.18,-0.13,1.05,0
75,0.23,-0.13,1.07,2
76,0.05,-0.12,0.97,2
77,0.17,-0.11,0.97,2
78,0.15,-0.13,0.96,2
79,0.17,-0.12,0.97,2
80,0.17,-0.12,0.98,2
81,0.19,-0.12,0.98,2
82,0.17,-0.12,0.97,2
83,0.2,-0.12,0.98,2
84,0.18,-0.12,0.97,2
85,0.19,-0.12,0.98,2
86,0.2,-0.12,0.97,2
87,0.19,-0.12,0.98,2
88,0.2,-0.12,0.98,2
89,0.18,-0.12,0.97,2
90,0.2,-0.12,0.98,2
91,0.19,-0.12,0.97,2
92,0.19,-0.11,0.97,2
93,0.19,-0.11,0.97,2
94,0.2,-0.12,0.99,2
95,0.21,-0.12,1.02,2
96,0.22,-0.09,1.01,2
97,0.22,-0.1,1.05,2
98,0.22,-0.1,1.06,2
99,0.22,-0.08,1.09,2
100,0.22,-0.03,1.11,2
101,0.26,0.0,1.23,2
102,0.33,0.08,1.44,2
103,0.13,0.13,1.45,2
104,0.08,0.22,1.39,2
105,-0.07,0.24,1.22,2
106,-0.1,0.24,1.12,2
107,-0.09,0.21,0.97,2
108,0.07,0.2,0.86,2
109,0.03,0.12,0.76,2
110,0.23,0.06,0.73,2
111,0.25,0.04,0.73,2
112,0.36,0.04,0.61,2
113,0.41,0.05,0.51,2
114,0.36,-0.04,0.38,2
115,0.5,-0.09,0.35,2
116,0.4,-0.09,0.36,2
117,0.45,-0.15,0.46,2
118,0.27,-0.26,0.59,2
119,0.1,-0.37,0.73,2
120,-0.03,-0.33,0.83,2
121,-0.3,-0.49,1.05,2
122,-0.38,-0.4,1.22,2
123,-0.73,-0.41,1.3,2
124,-0.63,-0.28,1.28,2
125,-0.61,-0.23,1.33,2
126,-0.59,-0.25,1.38,2
127,-0.55,-0.21,1.48,2
128,-0.43,-0.24,1.52,2
129,-0.35,-0.28,1.46,2
130,-0.29,-0.41,1.48,2
131,-0.26,-0.51,1.48,2
132,-0.43,-0.51,1.52,2
133,-0.42,-0.46,1.5,2
134,-0.58,-0.28,1.38,2
135,-0.48,-0.09,1.1,2
136,-0.51,0.03,0.85,2
137,-0.32,0.16,0.62,2
138,-0.17,0.28,0.45,2
139,-0.03,0.33,0.44,2
140,-0.02,0.38,0.32,2
141,0.06,0.42,0.37,2
142,-0.02,0.43,0.24,2
143,-0.1,0.51,0.16,2
144,-0.09,0.5,0.14,2
145,-0.28,0.44,0.02,2
146,-0.31,0.48,0.09,2
147,-0.41,0.21,0.16,2
148,-0.5,0.29,0.32,2
149,-0.49,0.0,0.6,2
150,-0.53,0.03,0.82,2
151,-0.48,-0.21,1.21,2
152,-0.37,-0.31,1.3,2
153,-0.32,-0.4,1.51,2
154,-0.05,-0.43,1.58,2
155,-0.22,-0.42,1.51,2
156,0.04,-0.48,1.49,2
157,-0.15,-0.26,1.24,2
158,-0.3,-0.26,1.06,2
159,-0.27,-0.21,1.05,2
160,-0.26,-0.2,1.04,2
161,-0.3,-0.2,0.99,2
162,-0.33,-0.14,0.95,2
163,-0.41,-0.14,0.9,2
164,-0.35,-0.13,0.89,2
165,-0.39,-0.08,0.89,2
166,-0.34,-0.13,0.93,2
167,-0.33,-0.13,0.96,2
168,-0.34,-0.13,0.96,2
169,-0.31,-0.13,0.96,2
170,-0.3,-0.14,0.92,2
171,-0.3,-0.14,0.92,2
172,-0.29,-0.14,0.96,2
173,-0.3,-0.13,0.97,2
174,-0.28,-0.13,0.96,2
175,-0.28,-0.15,0.95,2
176,-0.27,-0.17,0.96,2
177,-0.28,-0.16,0.96,2
178,-0.27,-0.14,0.95,2
179,-0.28,-0.18,0.95,2
180,-0.28,-0.14,0.94,2
181,-0.27,-0.17,0.95,2
182,-0.31,-0.18,0.94,2
183,-0.27,-0.18,0.99,2
184,-0.29,-0.14,0.95,2
185,-0.3,-0.2,0.99,2
186,-0.32,-0.16,0.95,2
187,-0.24,-0.18,0.97,2
188,-0.26,-0.16,0.94,2
189,-0.2,-0.2,0.97,2
190,-0.26,-0.13,0.92,2
191,-0.27,-0.17,0.9,2
192,-0.29,-0.16,0.91,2
193,-0.27,-0.15,0.96,2
194,-0.21,-0.19,1.0,2
195,-0.27,-0.16,0.99,2
196,-0.26,-0.14,0.99,2
197,-0.25,-0.17,0.99,2
198,-0.27,-0.16,0.95,2
199,-0.27,-0.17,0.93,2
200,-0.26,-0.16,0.95,0
201,-0.21,-0.19,0.95,0
202,-0.26,-0.16,0.96,0
203,-0.24,-0.14,0.96,0
204,-0.25,-0.14,0.96,0
205,-0.24,-0.16,0.97,0
206,-0.25,-0.15,0.97,0
207,-0.24,-0.15,0.97,0
208,-0.23,-0.15,0.97,0
209,-0.25,-0.15,0.96,0
210,-0.23,-0.16,0.96,0
211,-0.24,-0.15,0.96,0
212,-0.24,-0.14,0.96,0
213,-0.24,-0.14,0.96,0
214,-0.24,-0.15,0.97,0
215,-0.24,-0.14,0.97,0
216,-0.24,-0.15,0.97,0
217,-0.24,-0.15,0.97,0
218,-0.24,-0.14,0.96,0
219,-0.24,-0.15,0.96,0
220,-0.24,-0.14,0.96,0
221,-0.25,-0.13,0.96,0
222,-0.25,-0.15,0.97,0
223,-0.24,-0.17,0.96,0
224,-0.26,-0.19,0.96,0
