sequence,accelx,accely,accelz,event
0,0.42,0.73,0.7,0
1,0.34,0.71,0.76,0
2,0.2,0.03,0.97,0
3,0.2,0.04,0.98,0
4,0.19,0.04,0.97,0
5,0.2,0.03,0.97,0
6,0.2,0.04,0.97,0
7,0.2,0.04,0.97,0
8,0.2,0.04,0.98,0
9,0.2,0.03,0.98,0
10,0.2,0.03,0.98,0
11,0.2,0.04,0.98,0
12,0.2,0.04,0.97,0
13,0.2,0.03,0.97,0
14,0.2,0.04,0.98,0
15,0.2,0.04,0.97,0
16,0.19,0.04,0.97,0
17,0.2,0.03,0.98,0
18,0.2,0.03,0.98,0
19,0.2,0.03,0.98,0
20,0.2,0.03,0.98,0
21,0.2,0.04,0.98,0
22,0.2,0.04,0.97,0
23,0.21,0.03,0.97,0
24,0.19,0.04,0.98,0
25,0.19,0.03,0.97,0
26,0.2,0.04,0.98,0
27,0.2,0.03,0.97,0
28,0.2,0.04,0.98,0
29,0.19,0.04,0.98,0
30,0.19,0.04,0.98,0
31,0.19,0.04,0.98,0
32,0.18,0.04,0.98,0
33,0.17,0.04,0.98,0
34,0.17,0.04,0.98,0
35,0.16,0.04,0.98,0
36,0.17,0.03,0.98,0
37,0.15,0.03,0.98,0
38,0.15,0.03,0.98,0
39,0.11,0.03,0.98,0
40,0.13,0.05,0.98,0
41,0.1,0.04,0.98,0
42,0.1,0.04,0.97,0
43,0.11,0.06,1.0,0
44,0.13,0.03,0.98,0
45,0.14,0.03,0.99,0
46,0.14,0.04,0.98,0
47,0.11,0.03,0.98,0
48,0.11,0.02,0.98,0
49,0.09,0.04,0.99,0
50,0.1,0.03,1.02,0
51,0.07,0.06,1.03,0
52,0.17,0.02,0.97,0
53,0.22,0.03,0.98,0
54,0.21,0.08,0.96,0
55,0.21,0.04,0.97,0
56,0.21,0.05,0.97,0
57,0.22,0.05,0.97,0
58,0.21,0.04,0.98,0
59,0.22,0.04,0.97,0
60,0.21,0.03,0.98,0
61,0.21,0.04,0.98,0
62,0.21,0.04,0.97,0
63,0.21,0.04,0.97,0
64,0.21,0.04,0.97,0
65,0.21,0.03,0.97,0
66,0.21,0.03,0.97,0
67,0.21,0.04,0.97,0
68,0.21,0.03,0.97,0
69,0.22,0.04,0.97,0
70,0.21,0.03,0.97,0
71,0.21,0.04,0.97,0
72,0.21,0.03,0.98,0
73,0.21,0.03,0.98,0
74,0.21,0.03,0.97,0
75,0.21,0.04,0.97,2
76,0.21,0.03,0.97,2
77,0.21,0.03,0.97,2
78,0.21,0.03,0.97,2
79,0.21,0.03,0.98,2
80,0.21,0.03,0.97,2
81,0.21,0.03,0.98,2
82,0.21,0.04,0.98,2
83,0.21,0.04,0.97,2
84,0.21,0.04,0.97,2
85,0.21,0.03,0.97,2
86,0.21,0.03,0.97,2
87,0.21,0.04,0.98,2
88,0.21,0.03,0.98,2
89,0.21,0.03,0.98,2
90,0.21,0.03,0.97,2
91,0.24,0.04,0.97,2
92,0.2,0.05,0.98,2
93,0.21,0.04,0.98,2
94,0.2,0.04,1.0,2
95,0.19,0.03,1.01,2
96,0.13,0.05,1.02,2
97,0.19,0.04,0.98,2
98,0.15,0.05,1.02,2
99,0.06,0.05,1.12,2
100,0.13,0.0,1.18,2
101,0.21,-0.04,1.09,2
102,0.32,-0.11,0.95,2
103,0.37,-0.13,0.78,2
104,0.4,-0.03,0.62,2
105,0.29,0.14,0.57,2
106,0.14,0.31,0.79,2
107,-0.01,0.38,1.06,2
108,-0.06,0.39,1.28,2
109,0.08,0.36,1.46,2
110,0.22,0.22,1.48,2
111,0.12,0.11,1.51,2
112,0.06,-0.03,1.58,2
113,0.2,-0.21,1.64,2
114,0.26,-0.26,1.53,2
115,0.5,-0.41,1.39,2
116,0.6,-0.46,1.1,2
