sequence,accelx,accely,accelz,event
0,0.22,-0.02,0.97,0
1,0.22,-0.02,0.97,0
2,0.22,-0.01,0.97,0
3,0.21,-0.02,0.97,0
4,0.21,-0.02,0.97,0
5,0.22,-0.02,0.97,0
6,0.22,-0.02,0.98,0
7,0.22,-0.02,0.97,0
8,0.21,-0.01,0.97,0
9,0.22,-0.01,0.97,0
10,0.22,-0.02,0.97,0
11,0.22,-0.01,0.97,0
12,0.21,-0.02,0.97,0
13,0.22,-0.01,0.97,0
14,0.22,-0.02,0.97,0
15,0.22,-0.01,0.97,0
16,0.22,-0.01,0.97,0
17,0.21,-0.01,0.97,0
18,0.22,-0.01,0.97,0
19,0.21,-0.01,0.97,0
20,0.21,-0.01,0.97,0
21,0.22,-0.02,0.97,0
22,0.22,-0.02,0.97,0
23,0.22,-0.02,0.97,0
24,0.21,-0.02,0.97,0
25,0.21,-0.01,0.97,0
26,0.21,-0.01,0.97,0
27,0.22,-0.02,0.97,0
28,0.22,-0.01,0.97,0
29,0.22,-0.01,0.98,0
30,0.22,-0.02,0.98,0
31,0.22,-0.01,0.97,0
32,0.21,-0.01,0.97,0
33,0.21,-0.02,0.97,0
34,0.22,-0.02,0.97,0
35,0.22,-0.01,0.97,0
36,0.22,-0.01,0.97,0
37,0.21,-0.01,0.97,0
38,0.21,-0.02,0.97,0
39,0.22,-0.02,0.97,0
40,0.22,-0.02,0.97,0
41,0.21,-0.02,0.97,0
42,0.22,-0.02,0.97,0
43,0.22,-0.02,0.97,0
44,0.22,-0.02,0.98,0
45,0.22,-0.02,0.98,0
46,0.21,-0.01,0.97,0
47,0.22,-0.01,0.97,0
48,0.22,-0.01,0.97,0
49,0.21,-0.01,0.97,0
50,0.22,-0.02,0.97,0
51,0.22,-0.02,0.97,0
52,0.21,-0.01,0.97,0
53,0.21,-0.02,0.97,0
54,0.21,-0.02,0.97,0
55,0.22,-0.02,0.97,0
56,0.21,-0.02,0.98,0
57,0.22,-0.02,0.97,0
58,0.22,-0.02,0.97,0
59,0.22,-0.01,0.97,0
60,0.21,-0.02,0.97,0
61,0.21,-0.02,0.97,0
62,0.22,-0.02,0.97,0
63,0.22,-0.02,0.97,0
64,0.22,-0.02,0.97,0
65,0.21,-0.02,0.97,0
66,0.22,-0.01,0.98,0
67,0.22,-0.02,0.97,0
68,0.21,-0.02,0.97,0
69,0.21,-0.01,0.98,0
70,0.21,-0.01,0.97,0
71,0.22,-0.03,0.98,0
72,0.21,-0.01,0.97,0
73,0.21,-0.03,0.97,0
74,0.21,-0.01,0.97,0
75,0.21,-0.02,0.97,0
76,0.21,-0.01,0.97,0
77,0.21,-0.04,0.98,0
78,0.2,-0.02,0.98,0
79,0.21,-0.03,0.97,0
80,0.21,-0.03,0.97,0
81,0.23,-0.02,1.0,0
82,0.21,-0.05,0.98,0
83,0.23,-0.01,0.97,0
84,0.24,-0.04,0.96,0
85,0.2,-0.05,0.95,0
86,0.22,-0.05,0.97,0
87,0.23,-0.03,1.0,0
88,0.27,-0.03,0.99,0
89,0.23,-0.02,0.97,0
90,0.21,-0.02,0.96,0
91,0.21,-0.01,0.97,0
92,0.2,-0.01,0.97,0
93,0.21,-0.01,0.98,0
94,0.21,-0.01,0.98,0
95,0.22,-0.01,0.98,0
96,0.21,0.0,0.98,0
97,0.21,0.0,0.98,0
98,0.21,-0.01,0.97,0
99,0.21,-0.01,0.97,0
100,0.21,0.0,0.96,1
101,0.22,0.0,0.97,1
102,0.22,-0.01,0.97,1
103,0.21,-0.01,0.98,1
104,0.21,0.0,0.98,1
105,0.22,0.0,0.98,1
106,0.22,0.0,0.97,1
107,0.22,0.0,0.97,1
108,0.21,0.0,0.97,1
109,0.21,0.0,0.97,1
110,0.21,0.0,0.97,1
111,0.22,0.0,0.97,1
112,0.22,0.0,0.97,1
113,0.22,0.0,0.97,1
114,0.22,0.0,0.97,1
115,0.22,0.0,0.97,1
116,0.22,0.0,0.97,1
117,0.22,-0.01,0.97,1
118,0.21,0.0,0.97,1
119,0.22,0.0,0.98,1
120,0.22,0.0,0.98,1
121,0.22,-0.01,0.98,1
122,0.23,0.0,0.97,1
123,0.22,-0.01,0.97,1
124,0.22,-0.01,0.97,1
125,0.22,-0.02,0.96,1
126,0.22,-0.04,0.96,1
127,0.22,-0.05,0.96,1
128,0.23,-0.07,0.96,1
129,0.25,-0.1,0.96,1
130,0.25,-0.13,0.96,1
131,0.26,-0.13,0.97,1
132,0.25,-0.14,0.99,1
133,0.24,-0.12,1.03,1
134,0.24,-0.11,1.09,1
135,0.23,-0.08,1.15,1
136,0.22,-0.04,1.22,1
137,0.22,0.0,1.26,1
138,0.24,0.09,1.37,1
139,0.2,0.21,1.39,1
140,0.06,0.3,1.36,1
141,-0.06,0.38,1.23,1
142,-0.15,0.42,1.07,1
143,-0.2,0.4,0.91,1
144,-0.18,0.41,0.75,1
145,-0.11,0.46,0.62,1
146,-0.01,0.47,0.53,1
147,0.09,0.46,0.5,1
148,0.12,0.44,0.47,1
149,0.2,0.37,0.46,1
150,0.26,0.35,0.46,1
151,0.33,0.23,0.5,1
152,0.41,0.16,0.48,1
153,0.46,0.22,0.57,1
154,0.5,0.11,0.6,1
155,0.5,0.12,0.69,1
156,0.51,0.07,0.77,1
157,0.51,0.11,0.87,1
158,0.45,0.07,0.95,1
159,0.42,0.04,1.05,1
160,0.36,0.0,1.17,1
161,0.35,-0.01,1.23,1
162,0.39,0.01,1.34,1
163,0.34,0.09,1.36,1
164,0.18,0.13,1.33,1
165,0.04,0.21,1.24,1
166,-0.12,0.24,1.1,1
167,-0.08,0.24,0.98,1
168,-0.07,0.21,0.97,1
169,0.0,0.15,0.95,1
170,0.08,0.1,0.96,1
171,0.09,0.06,0.97,1
172,0.17,0.04,0.98,1
173,0.17,0.04,0.98,1
174,0.18,0.05,0.97,1
175,0.16,0.05,0.98,1
176,0.17,0.04,0.98,1
177,0.16,0.05,0.97,1
178,0.16,0.05,0.98,1
179,0.16,0.07,0.97,1
180,0.18,0.07,0.96,1
181,0.14,0.07,0.96,1
182,0.16,0.05,0.98,1
183,0.14,0.06,0.99,1
184,0.16,0.05,0.99,1
185,0.16,0.05,0.99,1
186,0.16,0.03,0.99,1
187,0.17,0.02,0.99,1
188,0.18,0.01,0.98,1
189,0.17,0.02,0.98,1
190,0.17,0.02,0.97,1
191,0.19,0.01,0.98,1
192,0.18,0.01,0.98,1
193,0.17,0.02,0.98,1
194,0.12,0.01,0.97,1
195,0.13,0.01,0.99,1
196,0.08,0.02,0.98,1
197,0.12,0.03,1.02,1
198,0.17,0.01,1.03,1
199,0.14,0.01,1.02,1
200,0.13,0.01,1.0,1
201,0.08,0.06,0.98,1
202,0.09,0.04,0.96,1
203,0.17,0.02,0.96,1
204,0.12,0.04,0.92,1
205,0.09,0.0,0.98,1
206,0.09,0.0,1.01,1
207,0.11,0.03,1.01,1
208,0.13,0.06,1.05,1
209,0.15,0.03,1.06,1
210,0.15,0.02,1.02,1
211,0.05,0.01,0.95,1
212,0.18,0.01,0.97,1
213,0.19,0.02,0.98,1
214,0.18,0.01,0.98,1
215,0.19,0.02,0.97,1
216,0.18,0.02,0.96,1
217,0.21,0.01,0.97,1
218,0.21,0.0,0.97,1
219,0.2,0.01,0.98,1
220,0.21,0.01,0.97,1
221,0.21,0.01,0.98,1
222,0.21,0.01,0.98,1
223,0.21,0.01,0.97,1
224,0.21,0.02,0.97,2
225,0.21,0.02,0.97,0
226,0.21,0.02,0.97,0
227,0.21,0.02,0.98,0
228,0.21,0.02,0.97,0
229,0.21,0.02,0.97,0
230,0.21,0.02,0.97,0
231,0.21,0.02,0.97,0
232,0.21,0.02,0.97,0
233,0.21,0.02,0.98,0
234,0.21,0.01,0.97,0
235,0.21,0.01,0.98,0
236,0.21,0.02,0.98,0
237,0.21,0.01,0.98,0
238,0.21,0.01,0.97,0
239,0.21,0.02,0.98,0
240,0.21,0.01,0.97,0
241,0.21,0.01,0.97,0
242,0.21,0.02,0.96,0
243,0.2,0.02,0.95,0
244,0.18,0.02,0.94,0
245,0.19,0.01,0.93,0
246,0.17,0.03,0.91,0
247,0.1,0.01,0.9,0
248,0.12,0.0,0.89,0
249,0.08,0.0,0.87,0
250,0.09,-0.03,0.97,0
251,0.04,-0.04,0.99,0
252,0.01,-0.05,1.07,0
253,0.04,-0.07,1.03,0
254,0.09,-0.1,1.07,0
255,0.08,-0.12,1.1,0
256,0.07,-0.13,1.08,0
257,0.02,-0.14,1.07,0
258,-0.02,-0.14,1.03,0
259,-0.02,-0.13,1.02,0
260,-0.03,-0.14,1.02,0
261,0.0,-0.16,1.0,0
262,-0.02,-0.16,1.02,0
263,-0.02,-0.16,1.0,0
264,-0.04,-0.18,0.99,0
265,-0.05,-0.2,0.99,0
266,-0.02,-0.13,0.99,0
267,-0.01,-0.14,1.03,0
268,-0.01,-0.14,1.04,0
269,-0.02,-0.13,1.08,0
270,-0.02,-0.11,1.1,0
271,-0.03,-0.09,1.06,0
272,-0.04,-0.07,0.99,0
273,-0.06,-0.06,0.94,0
274,-0.03,-0.06,0.93,0
275,-0.02,-0.04,0.91,0
276,-0.02,-0.04,0.96,0
277,0.02,-0.02,1.01,0
278,0.01,0.01,1.09,0
279,-0.06,0.05,1.09,0
280,-0.08,0.11,1.05,0
281,-0.08,0.12,1.03,0
282,-0.06,0.11,0.97,0
283,-0.03,0.09,0.96,0
284,-0.02,0.07,0.97,0
285,-0.01,0.07,0.94,0
286,0.0,0.07,0.96,0
287,-0.01,0.08,0.92,0
288,-0.02,0.08,0.97,0
289,-0.06,0.09,0.97,0
290,-0.07,0.12,0.99,0
291,-0.06,0.16,0.99,0
292,-0.06,0.15,0.99,0
293,-0.07,0.14,0.97,0
294,-0.07,0.17,0.97,0
295,-0.08,0.17,0.98,0
296,-0.07,0.16,1.01,0
297,-0.05,0.19,1.05,0
298,-0.08,0.19,1.01,0
299,-0.07,0.19,0.98,0
300,-0.06,0.18,0.97,0
301,-0.01,0.13,0.97,0
302,-0.05,0.12,0.97,0
303,-0.08,0.16,0.98,0
304,-0.06,0.16,0.97,0
305,-0.04,0.14,0.96,0
306,-0.04,0.15,0.96,0
