sequence,accelx,accely,accelz,event
0,0.14,-0.06,0.98,0
1,0.13,-0.07,0.98,0
2,0.14,-0.07,0.98,0
3,0.14,-0.07,0.98,0
4,0.15,-0.07,0.98,0
5,0.15,-0.07,0.98,0
6,0.14,-0.06,0.98,0
7,0.14,-0.07,0.98,0
8,0.13,-0.07,0.98,0
9,0.14,-0.07,0.99,0
10,0.14,-0.07,0.98,0
11,0.14,-0.07,0.98,0
12,0.14,-0.07,0.98,0
13,0.14,-0.07,0.98,0
14,0.13,-0.07,0.98,0
15,0.14,-0.07,0.98,0
16,0.13,-0.07,0.98,0
17,0.13,-0.07,0.99,0
18,0.14,-0.07,0.99,0
19,0.14,-0.07,0.98,0
20,0.14,-0.07,0.98,0
21,0.13,-0.06,0.98,0
22,0.14,-0.06,0.98,0
23,0.14,-0.07,0.98,0
24,0.14,-0.07,0.98,0
25,0.13,-0.07,0.99,0
26,0.14,-0.07,0.98,0
27,0.14,-0.07,0.98,0
28,0.14,-0.06,0.98,0
29,0.13,-0.06,0.98,0
30,0.14,-0.07,0.98,0
31,0.14,-0.07,0.99,0
32,0.13,-0.07,0.98,0
33,0.14,-0.07,0.98,0
34,0.14,-0.06,0.98,0
35,0.15,-0.06,0.99,0
36,0.14,-0.06,0.98,0
37,0.15,-0.07,0.99,0
38,0.14,-0.06,0.98,0
39,0.15,-0.06,0.98,0
40,0.15,-0.06,0.98,0
41,0.12,-0.04,0.98,0
42,0.09,-0.05,0.98,0
43,0.09,-0.05,0.97,0
44,0.09,-0.04,0.98,0
45,0.12,-0.03,0.99,0
46,0.13,-0.03,0.99,0
47,0.14,-0.04,0.99,0
48,0.13,-0.05,0.98,0
49,0.15,-0.05,0.99,0
50,0.14,-0.05,0.99,0
51,0.16,-0.04,0.99,0
52,0.11,-0.03,0.98,0
53,0.11,-0.02,0.98,0
54,0.11,-0.03,0.98,0
55,0.09,-0.03,0.98,0
56,0.1,-0.02,0.98,0
57,0.09,-0.04,0.98,0
58,0.09,-0.03,1.0,0
59,0.09,-0.05,0.99,0
60,0.06,-0.02,1.0,0
61,0.09,-0.05,0.99,0
62,0.06,-0.04,0.98,0
63,0.08,-0.04,0.99,0
64,0.08,-0.05,0.98,0
65,0.03,-0.03,0.99,0
66,0.06,-0.04,1.02,0
67,0.03,-0.05,0.98,0
68,0.03,-0.05,0.99,0
69,0.01,-0.02,0.98,0
70,0.02,-0.05,0.98,0
71,0.0,-0.04,1.0,0
72,0.01,-0.03,1.0,0
73,0.0,-0.03,1.01,0
74,0.06,-0.06,1.01,0
75,0.06,-0.05,1.02,0
76,0.04,-0.02,1.0,0
77,0.08,-0.02,0.98,0
78,0.09,-0.02,0.97,0
79,0.14,0.0,0.98,0
80,0.09,-0.02,0.98,0
81,0.09,-0.01,0.99,0
82,0.09,-0.01,0.99,0
83,0.08,-0.03,0.99,0
84,0.09,-0.01,0.99,0
85,0.09,-0.03,0.99,0
86,0.08,-0.02,1.0,0
87,0.08,-0.02,0.99,0
88,0.08,-0.03,0.98,0
89,0.09,-0.01,0.99,0
90,0.08,-0.02,0.98,0
91,0.09,-0.02,0.98,0
92,0.09,-0.02,0.99,0
93,0.09,-0.02,0.99,0
94,0.08,-0.02,0.98,0
95,0.09,-0.02,0.99,0
96,0.09,-0.02,0.99,0
97,0.08,-0.02,0.99,0
98,0.08,-0.02,0.99,0
99,0.08,-0.02,0.99,0
100,0.08,-0.02,0.99,1
101,0.08,-0.02,0.99,1
102,0.08,-0.02,0.99,1
103,0.08,-0.02,0.98,1
104,0.08,-0.02,0.98,1
105,0.08,-0.02,0.99,1
