sequence,accelx,accely,accelz,event
0,0.2,-0.04,0.98,0
1,0.21,-0.04,0.98,0
2,0.21,-0.04,0.97,0
3,0.21,-0.04,0.98,0
4,0.21,-0.04,0.98,0
5,0.21,-0.04,0.98,0
6,0.21,-0.04,0.98,0
7,0.21,-0.04,0.98,0
8,0.2,-0.04,0.98,0
9,0.2,-0.04,0.98,0
10,0.21,-0.04,0.97,0
11,0.21,-0.04,0.97,0
12,0.2,-0.04,0.97,0
13,0.2,-0.03,0.98,0
14,0.21,-0.03,0.98,0
15,0.21,-0.04,0.98,0
16,0.21,-0.04,0.98,0
17,0.21,-0.04,0.97,0
18,0.2,-0.03,0.97,0
19,0.2,-0.03,0.97,0
20,0.2,-0.03,0.97,0
21,0.2,-0.04,0.98,0
22,0.21,-0.04,0.98,0
23,0.21,-0.04,0.97,0
24,0.2,-0.04,0.98,0
25,0.21,-0.04,0.98,0
26,0.21,-0.04,0.99,0
27,0.21,-0.04,0.98,0
28,0.2,-0.03,0.98,0
29,0.2,-0.03,0.97,0
30,0.2,-0.03,0.97,0
31,0.21,-0.03,0.97,0
32,0.21,-0.04,0.97,0
33,0.2,-0.03,0.98,0
34,0.17,-0.03,0.98,0
35,0.2,-0.04,0.98,0
36,0.16,-0.03,0.98,0
37,0.2,-0.04,0.97,0
38,0.2,-0.03,0.99,0
39,0.2,-0.06,0.98,0
40,0.17,-0.02,0.98,0
41,0.21,-0.04,0.98,0
42,0.19,-0.05,0.99,0
43,0.24,-0.07,1.03,0
44,0.15,-0.01,0.99,0
45,0.19,-0.03,0.97,0
46,0.22,-0.04,0.95,0
47,0.16,-0.02,0.91,0
48,0.21,-0.07,0.97,0
49,0.18,-0.08,0.98,0
50,0.18,-0.05,1.0,0
51,0.22,-0.05,1.04,0
52,0.22,-0.05,1.05,0
53,0.24,-0.05,1.02,0
54,0.19,-0.03,0.97,0
55,0.21,-0.07,0.97,0
56,0.2,-0.04,0.94,0
57,0.21,-0.06,0.94,0
58,0.21,-0.04,0.97,0
59,0.21,-0.03,0.98,0
60,0.22,-0.03,0.98,0
61,0.22,-0.03,0.98,0
62,0.22,-0.03,0.97,0
63,0.22,-0.03,0.96,0
64,0.22,-0.03,0.97,0
65,0.22,-0.04,0.97,0
66,0.23,-0.03,0.98,0
67,0.22,-0.02,0.98,0
68,0.21,-0.03,0.98,0
69,0.22,-0.04,0.97,0
70,0.22,-0.04,0.97,0
71,0.22,-0.03,0.97,0
72,0.23,-0.03,0.97,0
73,0.23,-0.04,0.97,0
74,0.22,-0.03,0.97,0
75,0.22,-0.03,0.97,2
76,0.22,-0.03,0.97,2
77,0.22,-0.03,0.97,2
78,0.22,-0.03,0.97,2
79,0.22,-0.03,0.97,2
80,0.22,-0.03,0.97,2
81,0.22,-0.03,0.97,2
82,0.22,-0.03,0.97,2
83,0.22,-0.04,0.97,2
84,0.23,-0.03,0.97,2
85,0.22,-0.03,0.98,2
86,0.22,-0.03,0.97,2
87,0.22,-0.04,0.97,2
88,0.23,-0.04,0.98,2
89,0.22,-0.03,0.97,2
90,0.22,-0.03,0.97,2
91,0.22,-0.03,0.97,2
92,0.22,-0.03,0.97,2
93,0.22,-0.04,0.98,2
94,0.22,-0.04,0.99,2
95,0.21,-0.03,1.04,2
96,0.22,-0.02,1.02,2
97,0.25,0.0,0.99,2
98,0.29,0.02,1.04,2
99,0.36,0.0,1.28,2
100,0.26,0.06,1.43,2
101,0.11,0.11,1.39,2
102,-0.01,0.18,1.36,2
103,0.03,0.18,1.34,2
104,-0.02,0.19,1.26,2
105,-0.03,0.23,1.14,2
106,-0.09,0.27,0.99,2
107,-0.02,0.24,0.92,2
108,0.06,0.25,0.79,2
109,0.0,0.23,0.75,2
110,0.08,0.23,0.66,2
111,0.16,0.23,0.69,2
112,0.07,0.16,0.63,2
113,0.25,0.23,0.65,2
114,0.27,0.22,0.68,2
115,0.36,0.23,0.67,2
116,0.41,0.21,0.65,2
117,0.41,0.13,0.56,2
118,0.33,0.07,0.56,2
119,0.27,0.0,0.58,2
120,0.21,-0.01,0.6,2
121,0.23,0.0,0.64,2
122,0.08,-0.06,0.75,2
123,-0.12,-0.1,0.82,2
124,-0.31,-0.25,0.98,2
125,-0.48,-0.26,0.98,2
126,-0.67,-0.26,1.07,2
127,-0.59,-0.23,1.1,2
128,-0.85,-0.24,1.09,2
129,-0.72,-0.17,1.06,2
130,-0.91,-0.15,1.0,2
131,-0.72,-0.14,1.02,2
132,-0.87,-0.21,1.11,2
133,-0.77,-0.27,1.12,2
134,-0.72,-0.35,1.2,2
135,-0.74,-0.41,1.21,2
136,-0.85,-0.39,1.25,2
137,-0.79,-0.37,1.36,2
138,-0.78,-0.23,1.34,2
139,-0.76,-0.07,1.2,2
140,-0.66,0.09,1.02,2
141,-0.62,0.17,0.86,2
142,-0.41,0.29,0.65,2
143,-0.38,0.37,0.52,2
144,-0.23,0.37,0.37,2
145,-0.2,0.39,0.33,2
146,-0.14,0.45,0.22,2
147,0.01,0.55,0.21,2
148,-0.02,0.57,0.15,2
149,-0.12,0.66,-0.01,2
150,-0.13,0.6,-0.04,2
151,-0.23,0.6,-0.16,2
152,-0.3,0.54,-0.21,2
153,-0.34,0.49,-0.02,2
154,-0.39,0.31,0.12,2
155,-0.51,0.29,0.49,2
156,-0.49,0.18,0.71,2
157,-0.78,0.08,1.01,2
158,-0.62,-0.1,1.16,2
159,-0.88,-0.14,1.3,2
160,-0.59,-0.26,1.44,2
161,-0.63,-0.24,1.35,2
162,-0.58,-0.3,1.34,2
163,-0.32,-0.37,1.37,2
164,-0.5,-0.22,1.16,2
165,-0.53,-0.16,0.93,2
166,-0.56,-0.08,0.83,2
167,-0.55,-0.04,0.79,2
168,-0.55,-0.09,0.84,2
169,-0.61,-0.06,0.8,2
170,-0.55,-0.07,0.84,2
171,-0.58,-0.08,0.81,2
172,-0.54,-0.07,0.8,2
173,-0.53,-0.1,0.81,2
174,-0.57,-0.07,0.8,2
175,-0.53,-0.07,0.82,2
176,-0.56,-0.08,0.81,2
177,-0.54,-0.07,0.84,2
178,-0.58,-0.1,0.85,2
179,-0.52,-0.09,0.83,2
180,-0.56,-0.11,0.82,2
181,-0.52,-0.1,0.83,2
182,-0.54,-0.12,0.84,2
183,-0.55,-0.12,0.83,2
184,-0.52,-0.12,0.84,2
185,-0.54,-0.1,0.83,2
186,-0.53,-0.12,0.84,2
187,-0.55,-0.1,0.81,2
188,-0.53,-0.13,0.85,2
189,-0.56,-0.12,0.79,2
190,-0.51,-0.12,0.89,2
191,-0.64,-0.11,0.81,2
192,-0.45,-0.12,0.89,2
193,-0.53,-0.12,0.83,2
194,-0.52,-0.12,0.82,2
195,-0.44,-0.16,0.86,2
196,-0.52,-0.12,0.82,2
197,-0.57,-0.07,0.76,2
198,-0.54,-0.12,0.76,2
199,-0.56,-0.09,0.84,2
200,-0.52,-0.12,0.83,2
201,-0.51,-0.12,0.9,2
202,-0.51,-0.14,0.88,2
203,-0.59,-0.07,0.83,2
204,-0.52,-0.1,0.81,2
205,-0.57,-0.15,0.76,2
206,-0.52,-0.1,0.84,2
207,-0.52,-0.12,0.82,2
208,-0.53,-0.11,0.85,2
209,-0.55,-0.1,0.84,2
210,-0.54,-0.11,0.84,2
211,-0.54,-0.12,0.85,2
212,-0.53,-0.11,0.83,2
213,-0.53,-0.11,0.84,2
214,-0.53,-0.11,0.83,2
215,-0.55,-0.11,0.83,2
216,-0.54,-0.1,0.83,2
217,-0.53,-0.1,0.83,2
218,-0.54,-0.11,0.82,2
219,-0.54,-0.1,0.84,2
220,-0.54,-0.11,0.82,2
221,-0.54,-0.11,0.83,2
222,-0.54,-0.11,0.83,2
223,-0.54,-0.1,0.82,2
224,-0.54,-0.1,0.83,2
225,-0.54,-0.1,0.82,0
226,-0.55,-0.09,0.82,0
227,-0.55,-0.1,0.83,0
228,-0.55,-0.09,0.83,0
229,-0.55,-0.1,0.83,0
230,-0.54,-0.1,0.82,0
231,-0.53,-0.11,0.82,0
232,-0.58,-0.11,0.81,0
233,-0.54,-0.09,0.83,0
234,-0.55,-0.1,0.82,0
235,-0.55,-0.1,0.81,0
236,-0.55,-0.09,0.82,0
237,-0.55,-0.09,0.83,0
238,-0.56,-0.1,0.82,0
239,-0.56,-0.09,0.81,0
240,-0.55,-0.1,0.82,0
241,-0.55,-0.11,0.81,0
242,-0.54,-0.09,0.8,0
243,-0.54,-0.1,0.8,0
244,-0.54,-0.11,0.8,0
245,-0.55,-0.11,0.8,0
246,-0.54,-0.12,0.83,0
247,-0.58,-0.12,0.86,0
248,-0.58,-0.13,0.84,0
249,-0.53,-0.13,0.77,0
250,-0.51,-0.19,0.69,0
251,-0.38,-0.27,0.69,0
252,-0.2,-0.26,0.8,0
253,-0.1,-0.26,0.97,0
254,-0.15,-0.21,1.01,0
255,-0.24,-0.13,1.03,0
256,-0.31,-0.02,0.99,0
257,-0.4,0.04,0.98,0
258,-0.44,0.04,0.97,0
259,-0.49,0.03,0.98,0
260,-0.48,-0.01,0.99,0
261,-0.46,-0.06,0.99,0
262,-0.39,-0.11,0.98,0
263,-0.3,-0.16,0.95,0
264,-0.29,-0.21,0.92,0
265,-0.34,-0.24,0.9,0
266,-0.38,-0.17,0.89,0
267,-0.41,-0.14,0.87,0
268,-0.43,-0.13,0.85,0
269,-0.47,-0.13,0.82,0
270,-0.49,-0.13,0.83,0
271,-0.51,-0.13,0.85,0
272,-0.51,-0.13,0.86,0
273,-0.52,-0.13,0.88,0
274,-0.52,-0.13,0.84,0
275,-0.52,-0.13,0.86,0
276,-0.52,-0.14,0.85,0
277,-0.52,-0.15,0.87,0
278,-0.57,-0.16,0.89,0
279,-0.54,-0.16,0.83,0
280,-0.54,-0.15,0.77,0
281,-0.58,-0.13,0.78,0
282,-0.58,-0.13,0.78,0
283,-0.58,-0.13,0.79,0
284,-0.55,-0.13,0.8,0
285,-0.56,-0.14,0.8,0
286,-0.56,-0.13,0.8,0
287,-0.58,-0.13,0.8,0
288,-0.59,-0.14,0.77,0
289,-0.63,-0.14,0.75,0
290,-0.64,-0.15,0.75,0
291,-0.65,-0.17,0.76,0
292,-0.64,-0.17,0.73,0
293,-0.66,-0.16,0.73,0
294,-0.65,-0.16,0.72,0
295,-0.66,-0.16,0.71,0
296,-0.67,-0.16,0.72,0
297,-0.66,-0.16,0.71,0
298,-0.68,-0.16,0.71,0
299,-0.68,-0.15,0.7,0
300,-0.67,-0.16,0.7,0
301,-0.67,-0.15,0.71,0
302,-0.69,-0.14,0.7,0
303,-0.69,-0.15,0.7,0
304,-0.69,-0.14,0.7,0
305,-0.68,-0.15,0.71,0
306,-0.68,-0.15,0.69,0
