sequence,accelx,accely,accelz,event
0,50,-10,990,0
1,50,-10,990,0
2,50,-10,990,0
3,50,-10,990,0
4,50,-10,990,0
5,50,-10,990,0
6,50,-10,990,0
7,50,-10,990,0
8,50,-10,990,0
9,50,-10,990,0
10,50,-10,1000,0
11,50,-10,990,0
12,50,-20,990,0
13,50,-20,990,0
14,50,-10,990,0
15,50,-10,990,0
16,50,-10,990,0
17,40,-10,990,0
18,40,-20,990,0
19,40,-10,990,0
20,50,-10,990,0
21,40,-20,1000,0
22,40,-10,1000,0
23,40,-10,990,0
24,40,-20,990,0
25,40,-20,990,0
26,40,-20,990,0
27,40,-20,990,0
28,40,-10,990,0
29,40,-20,990,0
30,40,-10,990,0
31,40,-10,990,0
32,40,-10,990,0
33,40,-10,990,0
34,40,-10,990,0
35,30,-10,990,0
36,30,-10,990,0
37,30,-20,990,0
38,40,-10,990,0
39,30,-10,980,0
40,40,-10,980,0
41,40,-10,990,0
42,40,-10,990,0
43,30,-20,1000,0
44,40,-10,990,0
45,40,-20,1000,0
46,40,-20,990,0
47,30,-10,980,0
48,40,-10,980,0
49,40,-10,990,0
50,30,-10,980,0
51,30,-10,990,0
52,40,-10,1000,0
53,50,-10,1000,0
54,40,-10,1000,0
55,20,-10,980,0
56,30,-10,990,0
57,30,-20,990,0
58,20,-10,990,0
59,30,-20,990,0
60,40,-20,990,0
61,20,-30,990,0
62,20,0,980,0
63,30,-20,990,0
64,40,-20,990,0
65,40,-20,990,0
66,40,-20,990,0
67,30,-10,990,0
68,40,-20,990,0
69,40,-20,990,0
70,40,-20,990,0
71,40,-20,990,0
72,40,-20,990,0
73,40,-20,990,0
74,40,-20,990,0
75,40,-20,990,0
76,20,-10,980,0
77,20,-20,980,0
78,-20,-20,980,0
79,70,-20,1010,0
80,30,-10,1000,0
81,-10,0,1020,0
82,10,-10,1020,0
83,20,-20,990,0
84,10,-10,980,0
85,30,-20,980,0
86,30,-20,990,0
87,40,-20,990,0
88,20,-10,980,0
89,20,-10,980,0
90,40,-10,990,0
91,20,0,980,0
92,60,-10,990,0
93,70,-10,1000,0
94,60,-10,990,0
95,50,-10,990,0
96,50,-10,1000,0
97,60,-10,990,0
98,50,-10,990,0
99,60,-10,990,0
100,60,-10,990,1
101,60,-10,990,1
102,60,-10,990,1
103,60,-10,990,1
104,60,-10,990,1
105,60,-10,990,1
106,60,-10,990,1
107,60,-10,990,1
108,60,-10,1000,1
109,60,-10,990,1
110,50,-10,990,1
111,50,-10,990,1
112,60,-10,980,1
113,60,-10,990,1
114,60,-10,990,1
115,60,0,990,1
116,50,-10,990,1
117,50,-10,990,1
118,40,-10,980,1
119,30,-10,980,1
120,30,-20,980,1
121,0,-20,980,1
122,0,-30,960,1
123,40,-50,920,1
124,50,-120,920,1
125,30,-190,960,1
126,20,-220,1000,1
127,50,-210,1050,1
128,80,-190,1110,1
129,70,-150,1160,1
130,70,-120,1210,1
131,90,-80,1240,1
132,100,-10,1320,1
133,70,90,1370,1
134,-30,210,1380,1
135,-90,240,1350,1
136,-150,270,1250,1
137,-160,300,1130,1
138,-160,330,1020,1
139,-160,380,910,1
140,-120,390,800,1
141,-100,390,720,1
142,-70,370,600,1
143,-10,320,500,1
144,70,250,440,1
145,170,240,450,1
146,300,220,470,1
147,350,160,490,1
148,390,120,520,1
149,420,120,620,1
150,450,60,750,1
151,460,-10,860,1
152,430,-60,960,1
153,380,-120,1020,1
154,330,-80,1100,1
155,230,-100,1210,1
156,180,-10,1280,1
157,80,-50,1270,1
158,20,-30,1270,1
159,-10,-10,1210,1
160,-30,80,1130,1
161,-60,100,1100,1
162,-250,180,1100,1
163,-230,170,1080,1
164,-210,120,1020,1
165,-150,80,1000,1
166,-80,0,980,1
167,-70,-60,990,1
168,-60,-100,980,1
169,-70,-100,990,1
170,-70,-100,1000,1
171,-50,-90,990,1
172,-50,-70,990,1
173,-40,-50,980,1
174,-50,-40,980,1
175,-60,-30,1010,1
176,-50,-40,1020,1
177,-50,-30,1000,1
178,-50,-40,980,1
179,-60,-40,990,1
180,-50,-40,990,1
181,-40,-40,990,1
182,-50,-40,990,1
183,-50,-50,990,1
184,-40,-50,990,1
185,-40,-50,980,1
186,-40,-50,980,1
187,-60,-60,980,1
188,-60,-50,990,1
189,-80,-70,980,1
190,-80,-70,1010,1
191,-90,-70,990,1
192,-80,-70,1000,1
193,-100,-50,980,1
194,-70,-70,990,1
195,-70,-70,980,1
196,-110,-70,980,1
197,-50,-90,990,1
198,-80,-80,1000,1
199,-80,-90,1020,1
200,-50,-70,1070,1
201,-120,-50,990,1
202,-40,-70,950,1
203,-100,-60,930,1
204,-50,-70,930,1
205,-50,-110,990,1
206,-40,-110,1070,1
207,0,-90,1100,1
208,-90,-50,1010,1
209,-100,-110,990,1
210,-40,-80,980,1
211,-10,-30,970,1
212,0,-90,980,1
213,-20,-80,990,1
214,-20,-70,990,1
215,-20,-70,990,1
216,-10,-70,990,1
217,-10,-80,1000,1
218,-10,-70,1000,1
219,-10,-80,990,1
220,-10,-80,990,1
221,-10,-70,990,1
222,-10,-70,990,1
223,-20,-70,990,1
224,-10,-70,990,1
225,-10,-70,990,0
226,0,-70,990,0
227,-10,-70,990,0
228,-10,-70,990,0
229,-10,-70,990,0
230,0,-70,990,0
231,-10,-60,990,0
232,-10,-80,990,0
233,-10,-70,990,0
234,-10,-70,990,0
235,-10,-70,990,0
236,-10,-70,990,0
237,0,-70,990,0
238,-10,-70,990,0
239,0,-70,990,0
240,-10,-70,990,0
241,-10,-70,990,0
242,-10,-70,990,0
243,0,-70,990,0
244,-10,-80,990,0
245,0,-70,990,0
246,0,-70,990,0
247,-10,-70,990,0
248,-10,-70,990,0
249,0,-70,990,0
250,-10,-80,1020,0
251,-10,-70,1000,0
252,20,-50,940,0
253,-10,-60,930,0
254,-40,-90,960,0
255,-40,-100,1000,0
256,-50,-70,980,0
257,-40,-110,1010,0
258,-40,-120,1040,0
259,-20,-130,970,0
260,-30,-150,1050,0
261,-20,-160,980,0
262,-60,-180,1010,0
263,-60,-200,1000,0
264,-60,-190,990,0
265,-50,-180,980,0
266,-60,-170,980,0
267,-50,-190,980,0
268,-60,-190,970,0
269,-50,-180,970,0
270,-50,-190,980,0
271,-60,-190,980,0
272,-50,-200,980,0
273,-60,-210,980,0
274,-40,-240,1030,0
275,-50,-210,1000,0
276,-40,-240,980,0
277,-40,-240,1020,0
278,-30,-220,1000,0
279,-30,-210,970,0
