sequence,accelx,accely,accelz,event
0,850,60,530,0
1,850,40,540,0
2,830,30,550,0
3,820,10,580,0
4,780,-10,590,0
5,800,-10,600,0
6,280,-120,940,0
7,210,10,980,0
8,210,10,990,0
9,190,30,990,0
10,200,10,1000,0
11,170,0,990,0
12,200,-30,980,0
13,210,-30,980,0
14,220,-20,990,0
15,240,-20,980,0
16,280,-20,960,0
17,340,-60,920,0
18,350,-110,940,0
19,270,-110,950,0
20,200,-80,980,0
21,180,-50,1030,0
22,210,-10,1050,0
23,200,10,1030,0
24,210,20,1020,0
25,180,40,990,0
26,170,50,980,0
27,130,50,960,0
28,130,30,950,0
29,110,10,940,0
30,110,0,970,0
31,160,-10,980,0
32,140,-20,980,0
33,110,-30,980,0
34,100,-10,980,0
35,90,10,1000,0
36,90,10,1000,0
37,100,10,990,0
38,140,0,980,0
39,110,10,980,0
40,120,10,980,0
41,120,0,980,0
42,100,0,980,0
43,120,0,990,0
44,90,0,990,0
45,140,0,980,0
46,110,0,970,0
47,120,-10,980,0
48,110,20,980,0
49,120,10,980,0
50,150,30,1000,0
51,80,30,980,0
52,90,20,990,0
53,60,20,980,0
54,70,30,980,0
55,70,40,990,0
56,90,0,990,0
57,40,70,990,0
58,-10,60,990,0
59,30,40,1010,0
60,70,40,1020,0
61,40,60,1030,0
62,100,10,1040,0
63,100,70,990,0
64,80,30,970,0
65,80,30,960,0
66,120,40,970,0
67,110,60,980,0
68,130,50,980,0
69,110,40,980,0
70,110,40,980,0
71,100,40,980,0
72,120,40,990,0
73,120,50,990,0
74,120,40,980,0
75,120,40,980,3
76,120,40,990,3
77,130,40,990,3
78,110,40,980,3
79,120,40,990,3
80,120,40,980,3
81,120,40,990,3
82,130,40,980,3
83,120,40,980,3
84,130,40,980,3
85,120,40,980,3
86,130,40,980,3
87,120,40,980,3
88,120,40,980,3
89,130,40,980,3
90,130,40,980,3
91,130,40,980,3
92,140,40,980,3
93,130,40,980,3
94,140,40,980,3
95,130,50,990,3
96,140,60,1010,3
97,110,70,990,3
98,130,50,990,3
99,130,40,980,3
100,120,30,980,3
101,90,0,990,3
102,80,-20,1050,3
103,20,-70,1140,3
104,-60,-110,1220,3
105,0,-120,1280,3
106,60,-130,1330,3
107,60,-150,1360,3
108,10,-150,1310,3
109,80,-150,1250,3
110,100,-110,1090,3
111,180,-60,1010,3
112,120,-30,890,3
113,-40,10,830,3
114,-30,70,790,3
115,-10,100,840,3
116,-160,60,750,3
117,-120,-20,790,3
118,-150,-40,740,3
119,-180,-40,700,3
120,-130,0,700,3
121,-150,50,670,3
122,-90,80,720,3
123,-20,180,740,3
124,0,40,860,3
125,-50,-10,890,3
126,120,-110,980,3
127,160,-120,1060,3
128,150,-230,1090,3
129,400,-220,1290,3
130,170,-340,1220,3
131,380,-320,1300,3
132,290,-500,1180,3
133,340,-450,1100,3
134,320,-390,1120,3
135,130,-220,1040,3
136,190,-130,1020,3
137,180,0,1090,3
138,110,50,1180,3
139,-130,130,1210,3
140,-220,210,1350,3
141,-90,190,1440,3
142,160,210,1460,3
143,430,0,1320,3
144,170,40,1100,3
145,590,70,1040,3
146,370,150,840,3
147,460,360,690,3
148,690,270,700,3
149,510,110,540,3
150,570,40,630,3
151,530,-20,590,3
152,490,40,520,3
153,630,100,630,3
154,560,200,760,3
155,300,270,670,3
156,450,120,1020,3
157,130,270,850,3
158,110,160,1070,3
159,60,230,1120,3
160,-240,240,1070,3
161,220,320,1270,3
162,-210,370,1140,3
163,100,360,1280,3
164,10,290,1220,3
165,60,260,1130,3
166,190,210,1090,3
167,260,160,1010,3
168,300,140,970,3
169,390,90,960,3
170,350,70,910,3
171,390,40,940,3
172,350,40,910,3
173,330,90,930,3
174,390,80,960,3
175,340,80,930,3
176,390,70,950,3
177,360,70,930,3
178,360,70,940,3
179,360,70,930,3
180,370,50,920,3
181,320,50,930,3
182,390,40,950,3
183,280,90,950,3
184,400,50,940,3
185,290,80,920,3
186,350,80,960,3
187,350,90,980,3
188,340,70,1000,3
189,310,30,950,3
190,300,90,890,3
191,400,60,910,3
192,290,90,930,3
193,360,50,950,3
194,340,90,970,3
195,290,40,980,3
196,390,70,960,3
197,360,60,930,3
198,360,70,930,3
199,380,60,930,3
200,370,60,920,0
201,360,70,900,0
202,370,60,940,0
203,360,60,940,0
204,360,70,940,0
205,360,60,950,0
206,370,60,940,0
207,380,60,950,0
208,370,60,940,0
209,360,60,940,0
210,360,50,930,0
211,360,50,930,0
212,360,50,920,0
213,370,60,930,0
214,360,60,940,0
215,370,60,920,0
216,360,60,910,0
217,360,70,950,0
218,350,70,950,0
219,360,60,960,0
220,370,40,960,0
221,350,50,940,0
222,350,60,940,0
223,360,60,930,0
224,360,70,930,0
225,360,70,950,0
226,360,60,950,0
227,360,60,950,0
228,360,60,940,0
229,360,70,950,0
230,350,70,950,0
231,360,60,940,0
232,360,60,930,0
233,350,60,940,0
234,360,70,950,0
235,350,70,940,0
236,350,60,950,0
237,350,70,940,0
238,360,60,940,0
239,350,70,940,0
240,360,70,940,0
241,350,70,940,0
242,350,70,940,0
243,360,60,940,0
244,350,70,940,0
245,350,70,940,0
246,350,80,940,0
247,360,80,960,0
248,360,80,950,0
249,350,90,940,0
250,350,80,940,0
251,350,70,940,0
252,350,70,940,0
253,350,80,940,0
254,350,70,940,0
255,350,70,950,0
256,360,80,950,0
257,350,70,950,0
258,360,70,940,0
259,350,70,940,0
260,350,70,940,0
261,350,70,950,0
262,350,60,950,0
263,350,70,950,0
264,350,70,950,0
265,350,60,940,0
266,350,70,950,0
267,350,60,950,0
268,350,60,950,0
269,350,60,940,0
270,350,60,950,0
271,350,60,950,0
272,350,60,950,0
273,350,60,950,0
274,350,70,950,0
275,350,60,950,0
276,350,60,940,0
277,350,60,940,0
278,350,60,950,0
279,350,60,950,0
280,350,60,950,0
281,350,60,950,0
282,350,60,950,0
283,350,60,950,0
284,350,70,940,0
285,350,60,940,0
286,350,60,940,0
287,350,70,950,0
288,350,60,950,0
289,350,60,950,0
290,350,60,950,0
291,350,60,950,0
292,350,60,950,0
293,350,50,940,0
294,350,60,940,0
295,350,60,940,0
296,350,60,940,0
297,350,60,950,0
298,350,60,950,0
299,350,70,950,0
300,350,70,940,0
301,350,60,940,0
302,350,70,950,0
303,350,70,950,0
304,360,60,940,0
305,350,60,960,0
306,350,60,950,0
307,350,60,950,0
308,350,60,940,0
309,350,60,940,0
310,350,60,940,0
311,350,70,940,0
312,350,70,950,0
313,350,60,950,0
314,350,70,950,0
315,360,60,960,0
316,350,60,950,0
317,350,60,940,0
318,350,60,940,0
319,350,70,940,0
320,350,70,950,0
321,350,70,940,0
322,350,70,950,0
323,340,60,950,0
324,340,70,950,0
325,350,60,960,0
326,350,70,950,0
327,350,70,950,0
328,350,60,950,0
329,340,80,950,0
330,340,70,950,0
331,330,80,960,0
332,350,60,950,0
333,300,80,930,0
334,390,30,970,0
335,270,90,950,0
336,330,40,950,0
337,310,70,960,0
338,300,70,970,0
339,280,90,980,0
340,280,60,1000,0
341,400,60,980,0
342,340,50,900,0
343,340,80,900,0
344,350,70,930,0
345,350,60,920,0
346,350,60,920,0
347,350,70,950,0
348,350,70,960,0
349,350,70,960,0
350,350,70,950,3
351,360,80,950,3
352,350,70,940,3
353,350,60,940,3
354,350,70,950,3
355,350,70,950,3
